Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.027694,0.089271,0.279318,0.278017
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.027739,0.089254,0.278148,0.276844
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.026527,0.088816,0.309682,0.308435
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.026944,0.089297,0.298831,0.297564
RF,Model 1,Training Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.026970,0.089139,0.298156,0.296888
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.025977,0.087125,0.324016,0.322795
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.026033,0.087138,0.322549,0.321325
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",0.026058,0.087137,0.321890,0.320665
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",0.026614,0.087690,0.307429,0.306178
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",0.026492,0.087314,0.310592,0.309347
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",0.026439,0.087142,0.311989,0.310747
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.025395,0.087285,0.339152,0.337958
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.025640,0.087338,0.332770,0.331565
RF,Model 1,Training Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.025607,0.087269,0.333635,0.332431
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.020719,0.097860,0.323144,0.314095
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.020830,0.098007,0.319515,0.310416
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.020767,0.097676,0.321560,0.312489
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.020926,0.098106,0.316370,0.307230
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.020928,0.098047,0.316321,0.307180
RF,Model 2,Holdout Set,"max_depth = 10, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.020880,0.097703,0.317873,0.308752
